,revenue,reward_id,campaign_id,application_id
2014-07-26 21:49:56.667495,0.149,53d42284-223e-1ec0-6f0a-ba086bdfe31e,4,0
2014-07-26 21:50:35.246065,0.45,53d422ab-94b9-34c6-b5ea-54ae4a61c83f,34,1
2014-07-26 21:50:35.361103,3.249,53d422ab-a202-9366-afa0-9b6a506d9688,22,1
2014-07-26 21:50:36.952585,0.149,53d422ad-1b0e-6c78-68cf-b7a736696d93,4,2
2014-07-26 21:51:19.317979,0.45,53d422d7-ebef-e44b-2e65-5f25d6c99ef2,12,1
2014-07-26 21:51:43.012800,0.149,53d422ef-a50e-f15e-0e7f-e021213112dd,4,3
2014-07-26 21:52:15.734074,0.149,53d4230f-b572-13bb-5c22-1d92f4bd53b2,4,3
2014-07-26 21:52:16.598462,0.64,53d42310-2543-303b-c230-2761596573bc,47,3
2014-07-26 21:52:22.772799,0.149,53d42316-35ba-7cb7-4ac3-53e6608e6db3,4,3
2014-07-26 21:53:05.685501,0.149,53d42341-054f-1034-9c09-26dc2579fef2,4,3
2014-07-26 21:53:13.728966,0.149,53d42349-c180-9862-6d6b-6232546e437d,4,3
2014-07-26 21:53:24.323590,0.149,53d42354-b3ef-5977-bf9d-b1eb4d5d019d,4,0
2014-07-26 21:53:28.754101,0.499,53d42358-25f9-0455-c119-4984aa838cca,40,1
2014-07-26 21:54:03.745470,0.149,53d4237b-3df9-9e75-f694-4ffdf9079f1f,4,3
2014-07-26 21:54:17.632669,0.2,53d42389-56dc-7be5-e34a-7de1dfaea26f,37,3
2014-07-26 21:54:42.511464,0.149,53d423a2-ddff-0e62-b81f-e7f1c4e49e2b,4,0
2014-07-26 21:54:46.148917,0.149,53d423a6-ea2c-c771-78f7-f76adae035f8,4,0
2014-07-26 21:54:59.676935,0.376,53d423b3-c9d0-d262-46fd-0b39cdda0d34,11,1
2014-07-26 21:55:07.747089,0.499,53d423bb-11e4-fc50-3596-58c30eb761ea,33,1
2014-07-26 21:55:51.869858,0.45,53d423e7-339a-ddf6-0912-ab3609c6aead,22,1
2014-07-26 21:56:02.070488,0.64,53d423f2-2b92-2535-b519-42db158f231a,7,2
2014-07-26 21:56:06.834800,0.45,53d423f6-6e55-9b62-a02a-976b45be7624,34,1
2014-07-26 21:56:38.346821,0.45,53d42416-130f-d6fa-a545-dd7cd63f5024,12,1
2014-07-26 21:56:43.289121,0.149,53d4241b-6a3b-7141-b840-383ab81a4906,4,2
2014-07-26 21:57:24.012212,0.449,53d42444-16bc-7fba-75a4-ca47faacab28,9,0
2014-07-26 21:57:27.116534,0.499,53d42447-b1d0-0902-6524-67e214ac7fdc,1,1
2014-07-26 21:57:30.313808,0.149,53d4244a-c245-cfbf-a1a4-2dc6f271146b,4,0
2014-07-26 21:57:42.015012,0.699,53d42456-dd23-9178-f7ce-83fa342ba55d,26,3
2014-07-26 21:57:43.225188,0.149,53d42457-3dd6-d4d6-95bd-80377bb093c2,4,3
2014-07-26 21:58:19.564558,0.149,53d4247b-2c1e-d633-f4bd-88f488c58686,4,3
2014-07-26 21:58:34.510920,0.149,53d4248a-f32d-b7d7-d4d9-0428f681fefd,4,2
2014-07-26 21:59:34.925227,0.2,53d424c6-9005-daff-f49b-f2bbb3a497ab,37,0
2014-07-26 21:59:36.977849,0.149,53d424c9-2592-0bc4-bb10-c6273dc8507e,4,0
2014-07-26 21:59:43.326787,0.481,53d424cf-46d4-754d-56b3-c1831f81d62e,16,1
2014-07-26 22:00:29.581077,0.149,53d424fd-abda-e661-7d11-c0776042c125,4,3
2014-07-26 22:00:50.258162,0.149,53d42512-3c76-6c9e-04d7-9dde0ef47a01,4,3
2014-07-26 22:00:58.263259,0.45,53d4251a-4f5d-07a1-7cce-b4b620817f9e,12,1
2014-07-26 22:01:29.463893,0.149,53d42539-f470-e662-a45a-6d5cef961e71,4,3
2014-07-26 22:02:14.577306,0.45,53d42566-312c-cc9c-ba50-7d7ed0a28141,12,1
2014-07-26 22:02:29.386815,0.2,53d42575-f7e9-2ea8-edc2-d0cbf9cb2ccc,37,0
2014-07-26 22:02:40.008641,0.64,53d42580-1a52-a37f-6389-c79a1ee18236,7,1
2014-07-26 22:03:00.578385,0.149,53d42594-a534-9c79-66b6-78a1207aa9ee,4,3
2014-07-26 22:03:23.201249,0.64,53d425ab-b238-b36e-99d2-c8921576163d,7,1
2014-07-26 22:03:48.934839,0.149,53d425c4-e08d-4d6d-0657-addf42badd35,4,0
2014-07-26 22:04:28.911472,0.149,53d425ec-b33d-606e-9ba9-34e252fbae90,4,3
2014-07-26 22:04:36.688166,0.45,53d425f4-05dd-b080-426d-3c6e3f2657cb,34,3
2014-07-26 22:06:19.307986,0.149,53d4265b-f2ec-d101-2ace-6bf9d4facce4,4,3
2014-07-26 22:06:33.415938,1.098,53d42669-2782-8569-3747-2c9801e84ffc,27,0
2014-07-26 22:06:47.533250,0.849,53d42677-198d-b6f2-f8b4-ea6573b49da3,36,2
2014-07-26 22:07:02.846944,0.149,53d42686-cdad-3c17-7d19-9a94909ff1e4,4,3
2014-07-26 22:08:09.943387,0.149,53d426ca-1d32-9550-319f-5a76ddaafefd,4,3
2014-07-26 22:08:19.381766,0.2,53d426d3-a0b2-1f37-af6e-2e80ccbb0875,37,3
2014-07-26 22:08:42.158975,0.149,53d426ea-3f07-0a0f-f857-8c14013d37e1,4,3
2014-07-26 22:10:19.409860,2.24,53d4274b-1708-80fe-7326-8b6cc02a0fe8,11,1
2014-07-26 22:10:37.017974,0.376,53d4275d-cf03-f9b7-2c4a-df33827ddafe,11,1
2014-07-26 22:10:55.946832,0.149,53d4276f-e40e-1f79-0cb4-5d47dec8a008,4,3
2014-07-26 22:11:16.787084,0.149,53d42784-e1e6-f5e5-129d-5f7e49df260a,4,0
2014-07-26 22:11:33.368579,0.699,53d42795-18ac-123a-a80c-a3db128ec556,26,0
2014-07-26 22:11:38.955660,0.2,53d4279a-e2f5-7c03-8f54-6b9b5bdb1702,37,3
2014-07-26 22:12:41.691956,0.149,53d427d9-00bf-374c-f76a-bd431758bad0,4,3
2014-07-26 22:12:53.182389,0.899,53d427e5-2ac5-9498-0bee-70cdcb6e2aa7,25,1
2014-07-26 22:13:15.668147,0.849,53d427fb-7f4f-18e9-41d8-65e0b52915e2,42,0
2014-07-26 22:13:15.734875,0.149,53d427fb-1ba7-bf70-9387-cf8546c4f551,4,0
2014-07-26 22:13:56.238646,0.499,53d42824-a631-ec70-d2c6-e60b562753a9,33,1
2014-07-26 22:14:07.470994,0.149,53d4282f-d014-e0cc-4da7-37114a43fba8,4,2
2014-07-26 22:14:18.198302,0.149,53d4283a-a587-f83b-f6c0-1e7ae38a9a1f,4,3
2014-07-26 22:14:24.288940,0.299,53d42840-59d6-2e0c-f7c7-08dfb522461e,15,1
2014-07-26 22:14:35.523477,0.149,53d4284b-2513-8179-997f-b8aa8bdc9927,4,3
2014-07-26 22:15:12.713896,0.699,53d42875-f479-a30e-8d74-edeed2e96475,26,3
2014-07-26 22:15:48.019993,0.249,53d42894-929e-cbdd-2783-aafa90a4ebd7,70,1
2014-07-26 22:16:00.720556,0.149,53d428a0-f1f8-c893-8f3c-29ca23c32a63,4,3
2014-07-26 22:16:17.236455,0.64,53d428b1-4e8b-e502-17ff-b253efb732c7,7,2
2014-07-26 22:16:33.511640,0.149,53d428c1-be7a-5015-ad9d-976e53fc2bdd,4,3
2014-07-26 22:16:37.834018,0.149,53d428c5-813c-c7c7-2e1d-77f1d3b25288,4,3
2014-07-26 22:16:41.640262,0.149,53d428c9-4837-18e5-37f8-5b0adb7c4882,4,2
2014-07-26 22:17:03.292377,0.149,53d428df-a33e-bd30-8588-2053fcc4c6fd,4,3
2014-07-26 22:17:07.757064,0.481,53d428e3-6fba-0786-9837-baee70adb475,16,1
2014-07-26 22:17:20.897577,0.149,53d428f0-1fbd-da54-a940-8fa8d69c4d70,4,3
2014-07-26 22:17:50.781512,0.149,53d4290e-9e61-6152-53e5-a31025c6cb07,4,3
